,Bundesland,confirmed,confirmed_el,extra,date
0,Baden-Württemberg,827 (3),524 (2),,2020-03-15 21:00:00
1,Bayern,886 (4),804 (1),,2020-03-15 21:00:00
2,Berlin,265,265,,2020-03-15 21:00:00
3,Brandenburg,84,56,,2020-03-15 21:00:00
4,Bremen,53,53,,2020-03-15 21:00:00
5,Hamburg,162,162,,2020-03-15 21:00:00
6,Hessen,286,207,,2020-03-15 21:00:00
7,Mecklenburg-Vorpommern,50,33,,2020-03-15 21:00:00
8,Niedersachsen,287,238,,2020-03-15 21:00:00
9,Nordrhein-Westfalen,1.407 (5),1.407 (5),Landkreis Heinsberg,2020-03-15 21:00:00
10,Rheinland-Pfalz,168,168,,2020-03-15 21:00:00
11,Saarland,32,32,,2020-03-15 21:00:00
12,Sachsen,130,91,,2020-03-15 21:00:00
13,Sachsen-Anhalt,47,40,,2020-03-15 21:00:00
14,Schleswig-Holstein,103,79,,2020-03-15 21:00:00
15,Thüringen,51,36,,2020-03-15 21:00:00
16,Gesamt,4.838 (12),4.195 (8),,2020-03-15 21:00:00
