Bundesland,date,confirmed,deaths
Baden-Württemberg,2020-03-18 21:00:00,1.609,2
Bayern,2020-03-18 21:00:00,1.243,4
Berlin,2020-03-18 21:00:00,391.0,0
Brandenburg,2020-03-18 21:00:00,92.0,0
Bremen,2020-03-18 21:00:00,69.0,0
Hamburg,2020-03-18 21:00:00,358.0,0
Hessen,2020-03-18 21:00:00,432.0,0
Mecklenburg-Vorpommern,2020-03-18 21:00:00,56.0,0
Niedersachsen,2020-03-18 21:00:00,478.0,0
Nordrhein-Westfalen,2020-03-18 21:00:00,2.372,6
Rheinland-Pfalz,2020-03-18 21:00:00,474.0,0
Saarland,2020-03-18 21:00:00,88.0,0
Sachsen,2020-03-18 21:00:00,198.0,0
Sachsen-Anhalt,2020-03-18 21:00:00,105.0,0
Schleswig-Holstein,2020-03-18 21:00:00,159.0,0
Thüringen,2020-03-18 21:00:00,74.0,0
Gesamt,2020-03-18 21:00:00,8.198,12
