,Unnamed: 0,Bundesland,confirmed,confirmed_el,extra,date,deaths
0,0,Baden-Württemberg,454,401 (1),,2020-03-14 16:01:00,1
1,1,Bayern,558,412,,2020-03-14 16:01:00,1
2,2,Berlin,174,174,,2020-03-14 16:01:00,
3,3,Brandenburg,44,44,,2020-03-14 16:01:00,
4,4,Bremen,42,42,,2020-03-14 16:01:00,
5,5,Hamburg,99,99,,2020-03-14 16:01:00,
6,6,Hessen,148,94,,2020-03-14 16:01:00,
7,7,Mecklenburg-Vorpommern,33,21,,2020-03-14 16:01:00,
8,8,Niedersachsen,230,134,,2020-03-14 16:01:00,
9,9,Nordrhein-Westfalen,936,887 (3),Landkreis Heinsberg,2020-03-14 16:01:00,3
10,10,Rheinland-Pfalz,102,102,,2020-03-14 16:01:00,
11,11,Saarland,40,30,,2020-03-14 16:01:00,
12,12,Sachsen,83,46,,2020-03-14 16:01:00,
13,13,Sachsen-Anhalt,42,29,,2020-03-14 16:01:00,
14,14,Schleswig-Holstein,48,45,,2020-03-14 16:01:00,
15,15,Thüringen,29,16,,2020-03-14 16:01:00,
16,16,Gesamt,3.062,2.576 (4),,2020-03-14 16:01:00,5
