Bundesland,date,confirmed,deaths
Baden-Württemberg,2020-03-15 13:50:00,569,2
Bayern,2020-03-15 13:50:00,681,1
Berlin,2020-03-15 13:50:00,216,
Brandenburg,2020-03-15 13:50:00,61,
Bremen,2020-03-15 13:50:00,50,
Hamburg,2020-03-15 13:50:00,158,
Hessen,2020-03-15 13:50:00,203,
Mecklenburg-Vorpommern,2020-03-15 13:50:00,45,
Niedersachsen,2020-03-15 13:50:00,253,
Nordrhein-Westfalen,2020-03-15 13:50:00,1.154,5
Rheinland-Pfalz,2020-03-15 13:50:00,121,
Saarland,2020-03-15 13:50:00,40,
Sachsen,2020-03-15 13:50:00,93,
Sachsen-Anhalt,2020-03-15 13:50:00,45,
Schleswig-Holstein,2020-03-15 13:50:00,60,
Thüringen,2020-03-15 13:50:00,46,
Gesamt,2020-03-15 13:50:00,3.795,8
